lat,lng,level,observed
54.3028780912,18.5783529282,2,2013-03-18 11:54:00
54.3291878978,18.6027932167,3,2013-03-17 22:00:00
54.3483526687,18.5636329651,5,2013-03-18 12:14:00
54.3207535694,18.5743618011,3,2013-03-09 19:37:00
54.3015008065,18.610367775,1,2013-03-09 19:37:00
54.3224305618,18.5517454147,1,2013-03-18 12:51:00
54.3134190534,18.5505008698,2,2013-03-17 19:00:00
54.3221802688,18.5353088379,4,2013-03-18 08:25:00
54.3311648344,18.5638904572,5,2013-03-18 19:39:00
54.315221513,18.6048746109,4,2013-03-15 21:00:00
54.340297548,18.6116123199,3,2013-03-18 21:02:00
54.3197273165,18.5591697693,1,2013-03-18 21:03:00
54.3163730431,18.5688686371,4,2013-03-18 21:03:00
54.323732061,18.5565948486,3,2013-03-18 21:05:00
54.3271483004,18.5512304306,3,2013-03-06 10:05:00
54.3182504686,18.5817861557,3,2013-03-06 21:06:00
54.3206784786,18.5482263565,1,2013-03-18 21:06:00
54.3151213784,18.601398468,4,2013-03-14 21:07:00
54.3287749814,18.601269722,2,2013-03-17 08:30:00
54.3189263208,18.5984802246,2,2013-03-18 21:04:00
54.3098514528,18.5888457298,1,2013-03-18 21:07:00
54.3474521746,18.4815788269,1,2013-03-18 21:04:00
54.3520544929,18.53307724,3,2013-03-18 21:08:00
54.3189263208,18.5402011871,5,2013-03-18 21:09:00
54.3186009119,18.5499858856,5,2013-03-18 21:09:00
54.3453509449,18.6098098755,4,2013-03-18 21:10:00
54.304906372,18.476600647,2,2013-03-18 21:11:00
54.3184632381,18.5476899147,5,2013-03-18 21:09:00
54.3634955233,18.597278595,5,2013-03-18 21:11:00
54.3341926163,18.6254739761,2,2013-03-18 21:12:00
54.3212792013,18.5511016846,5,2013-03-18 21:12:00
54.3433496739,18.5072422028,3,2013-03-17 07:40:00
54.3262348283,18.5846400261,5,2013-03-18 21:12:00
54.3430494748,18.5913133621,2,2013-02-18 06:12:00
54.3183005321,18.5434412956,4,2013-03-18 21:14:00
54.3205157814,18.5494494438,5,2013-03-18 21:14:00
54.316948796,18.5486555099,5,2013-03-18 21:15:00
54.3299386444,18.5033798218,4,2013-03-17 12:50:00
54.3212792013,18.5720014572,1,2013-03-18 21:14:00
54.3405477307,18.540802002,2,2013-03-18 21:13:00
54.3286873925,18.5838460922,5,2013-03-18 21:13:00
54.3504787572,18.5703277588,2,2013-03-13 15:00:00
54.3302389392,18.5009765625,3,2013-03-17 14:10:00
54.3173993796,18.5498571396,5,2013-03-18 21:15:00
54.3278365194,18.5995101929,5,2013-03-13 20:13:00
54.3199150476,18.5128211975,3,2013-03-18 21:15:00
54.3176497018,18.5698771477,2,2013-03-18 21:15:00
54.3303265248,18.5522818565,1,2013-03-18 21:15:00
54.320553327,18.5485482216,5,2013-03-18 21:18:00
54.3151213784,18.5497283936,4,2013-03-18 21:19:00
54.320328053,18.5509300232,1,2013-03-16 21:00:00
54.3484527224,18.5129928589,2,2013-02-20 15:00:00
54.3191265712,18.5586547852,1,2013-03-18 21:21:00
54.3190890244,18.5807347298,1,2013-03-18 21:21:00
54.3296883971,18.5805630684,2,2013-03-18 21:21:00
54.3313400014,18.5652208328,4,2013-03-18 21:21:00
54.3084869202,18.5672163963,1,2013-03-18 21:23:00
54.3469518916,18.5514450073,2,2013-03-16 21:24:00
54.3315401914,18.6149168015,1,2013-03-18 21:25:00
54.3190765087,18.5603713989,5,2013-03-18 21:26:00
54.3317904274,18.5644054413,5,2013-03-18 21:26:00
54.3208662054,18.574898243,3,2013-03-18 21:25:00
54.3300387429,18.5656070709,5,2013-03-18 21:26:00
54.3211915964,18.5520243645,3,2013-03-18 21:27:00
54.3220801511,18.5773658752,2,2013-03-18 21:27:00
54.3425366297,18.6203885078,2,2013-03-18 21:27:00
54.3092380447,18.5683107376,5,2013-03-18 21:27:00
54.2922342389,18.5460805893,2,2013-03-18 21:26:00
54.3212041114,18.5504150391,4,2013-03-03 12:28:00
54.3195395846,18.5627961159,1,2013-03-18 21:28:00
54.3172241533,18.5483336449,5,2013-03-18 21:28:00
54.2976942527,18.6331558228,1,2013-03-18 21:30:00
54.3164982074,18.5528826714,5,2013-03-18 21:31:00
54.3181878891,18.5478830338,1,2013-03-18 21:32:00
54.3305267197,18.6013770103,3,2013-03-12 21:32:00
54.3230187444,18.5604357719,4,2013-03-16 13:33:00
54.3229686866,18.5607147217,5,2013-03-15 13:33:00
54.3183631114,18.5479044914,5,2013-03-18 21:33:00
54.3227058824,18.5610365868,5,2013-03-14 13:33:00
54.3219299742,18.5457372665,5,2013-03-18 21:32:00
54.3411481632,18.5641479492,2,2013-03-18 21:33:00
54.3190765087,18.5627746582,5,2013-03-18 21:34:00
54.3035416756,18.5455870628,5,2013-02-14 19:25:00
54.3201653544,18.5643839836,2,2013-03-18 21:35:00
54.3185007856,18.5784387589,2,2013-03-18 21:37:00
54.3174244119,18.5153102875,5,2013-03-18 21:36:00
54.3181753732,18.5801553726,3,2013-03-18 21:36:00
54.3209538109,18.5511875153,4,2013-03-18 21:37:00
54.3167735677,18.5114479065,4,2013-03-18 21:36:00
54.3119169435,18.5589981079,5,2013-03-18 21:38:00
54.3160976801,18.5753703117,2,2013-03-18 21:40:00
54.3175996375,18.5482048988,5,2013-03-18 21:41:00
54.3187260695,18.5503721237,1,2013-03-18 21:35:00
54.3315026558,18.5645985603,5,2013-03-16 11:30:00
54.3183005321,18.5795760155,1,2013-03-15 22:42:00
54.3387463807,18.6159896851,2,2013-03-18 21:43:00
54.3226808533,18.5436558723,4,2012-09-14 21:40:00
54.321692193,18.5496425629,5,2013-03-18 21:43:00
54.3094633793,18.577709198,1,2013-03-18 21:42:00
54.3279022125,18.5531830788,5,2013-03-18 21:43:00
54.3211415364,18.5496425629,1,2013-03-18 21:45:00
54.319451976,18.5499429703,5,2013-03-18 21:45:00
54.3196522238,18.5544490814,5,2013-03-18 21:45:00
54.3200026552,18.5503721237,3,2013-03-18 21:45:00
54.3161727793,18.5555648804,5,2013-03-18 21:45:00
54.3288000067,18.5838890076,1,2013-01-17 21:59:00
54.3279366231,18.5493850708,2,2013-03-18 21:45:00
54.3119169435,18.5513591766,4,2013-03-10 18:00:00
54.3548056327,18.5243868828,2,2013-02-15 11:37:00
54.3143373618,18.5703531167,1,2013-03-18 21:52:00
54.317349315,18.5829877853,2,2013-03-18 21:51:00
54.3021018091,18.5405445099,3,2013-03-18 21:52:00
54.3200402012,18.5504150391,3,2013-03-18 20:55:00
54.3230187444,18.5765719414,1,2013-03-18 21:57:00
54.3311898583,18.6023640633,5,2013-03-18 21:56:00
54.3097387867,18.5653066635,1,2013-03-18 21:57:00
54.3209538109,18.55022192,5,2013-03-03 21:57:00
54.323444233,18.5743403435,5,2013-03-13 19:00:00
54.3176121535,18.54616642,4,2013-03-18 21:58:00
54.3202654767,18.5459518433,4,2013-03-18 21:58:00
54.3193893984,18.5516381264,5,2013-03-18 21:58:00
54.3195020381,18.5650706291,1,2013-03-18 22:00:00
54.3187636167,18.5477757454,2,2013-03-18 22:02:00
54.3258218822,18.5849404335,1,2013-03-18 22:01:00
54.3188512267,18.5474967957,1,2013-03-18 22:03:00
54.3732585164,18.6090159416,3,2013-03-06 06:02:00
54.3189763835,18.5583972931,3,2013-03-18 22:08:00
54.3599447685,18.5915708542,3,2013-03-17 09:00:00
54.3706086121,18.5240221024,2,2013-03-18 22:09:00
